MMFE8 VMM CH  Gain      Pedestal  (TDO = time*G + P)
105   1   24  1.48e+00  1.35e+01  
105   1   25  1.34e+00  2.22e+01  
105   1   30  1.68e+00  2.70e+01  
105   1   31  1.05e+00  2.39e+01  
105   1   32  1.40e+00  2.15e+01  
105   1   33  1.11e+00  2.41e+01  
105   1   34  1.49e+00  2.14e+01  
105   1   37  1.19e+00  2.22e+01  
105   1   38  1.29e+00  1.59e+01  
105   1   39  1.44e+00  9.03e+00  
105   1   40  1.16e+00  1.35e+01  
105   1   41  1.54e+00  1.48e+01  
105   1   42  1.27e+00  1.12e+01  
105   1   43  1.18e+00  2.12e+01  
105   1   44  1.55e+00  9.66e+00  
105   1   45  1.43e+00  1.11e+01  
105   1   46  1.17e+00  1.43e+01  
105   1   47  1.49e+00  6.35e+00  
105   1   48  1.39e+00  6.63e+00  
105   1   49  1.49e+00  8.44e+00  
105   1   50  1.58e+00  1.23e+01  
105   1   51  1.35e+00  8.10e+00  
105   1   52  1.26e+00  1.43e+01  
105   1   53  1.65e+00  8.36e+00  
105   1   54  1.43e+00  9.07e+00  
105   1   55  1.65e+00  1.24e+01  
105   1   56  1.21e+00  1.79e+01  
105   1   57  1.37e+00  1.48e+01  
105   1   58  1.30e+00  1.48e+01  
105   1   59  1.53e+00  1.08e+01  
105   1   60  1.56e+00  9.45e+00  
105   1   61  1.52e+00  1.31e+01  
105   1   62  1.68e+00  1.10e+01  
105   1   63  1.79e+00  1.46e+01  
105   1   64  1.48e+00  1.06e+01  
105   2   1   1.58e+00  2.73e+01  
105   2   4   1.17e+00  2.53e+01  
105   2   5   1.13e+00  3.39e+01  
105   2   6   1.40e+00  3.24e+01  
105   2   11  1.61e+00  3.29e+01  
105   2   12  1.40e+00  2.85e+01  
105   2   13  1.52e+00  2.90e+01  
105   2   14  1.53e+00  3.28e+01  
105   2   15  1.50e+00  2.72e+01  
105   2   16  1.25e+00  2.84e+01  
105   2   17  1.43e+00  2.62e+01  
105   2   19  1.15e+00  2.56e+01  
105   2   20  1.38e+00  2.98e+01  
105   2   21  1.57e+00  2.14e+01  
105   2   22  1.54e+00  2.87e+01  
105   2   23  1.43e+00  3.21e+01  
105   2   24  1.39e+00  2.56e+01  
105   2   25  1.14e+00  2.67e+01  
105   2   26  1.32e+00  2.95e+01  
105   2   27  1.46e+00  2.78e+01  
105   2   28  1.27e+00  3.51e+01  
105   2   29  1.44e+00  2.80e+01  
105   2   30  1.09e+00  2.84e+01  
105   2   31  1.29e+00  1.99e+01  
105   2   32  1.37e+00  2.99e+01  
105   2   33  1.59e+00  3.31e+01  
105   2   34  1.58e+00  2.82e+01  
105   2   35  1.61e+00  2.58e+01  
105   2   36  1.31e+00  2.37e+01  
105   2   38  1.21e+00  2.48e+01  
105   2   39  1.47e+00  3.06e+01  
105   2   40  1.34e+00  3.03e+01  
105   2   41  1.27e+00  3.22e+01  
105   2   42  1.44e+00  3.00e+01  
105   2   43  1.35e+00  2.31e+01  
105   2   44  1.30e+00  2.37e+01  
105   2   45  1.22e+00  2.48e+01  
105   2   48  1.54e+00  2.58e+01  
105   2   49  1.21e+00  3.28e+01  
105   2   50  1.44e+00  2.40e+01  
105   2   51  1.30e+00  3.08e+01  
105   2   52  1.49e+00  2.24e+01  
105   2   53  1.48e+00  2.35e+01  
105   2   54  1.32e+00  2.35e+01  
105   2   55  1.45e+00  2.39e+01  
105   2   56  1.63e+00  2.67e+01  
105   2   57  1.47e+00  2.26e+01  
105   2   58  1.57e+00  2.84e+01  
105   2   59  1.45e+00  3.18e+01  
105   2   60  1.70e+00  1.97e+01  
105   2   61  1.42e+00  2.22e+01  
105   2   63  1.43e+00  1.91e+01  
105   2   64  1.75e+00  2.21e+01  
105   3   1   1.53e+00  2.88e+01  
105   3   2   1.39e+00  2.27e+01  
105   3   3   1.42e+00  2.92e+01  
105   3   4   1.61e+00  2.48e+01  
105   3   5   1.34e+00  2.53e+01  
105   3   6   1.57e+00  2.84e+01  
105   3   7   8.99e-01  3.68e+01  
105   3   8   1.53e+00  2.79e+01  
105   3   9   1.54e+00  2.88e+01  
105   3   11  1.45e+00  2.09e+01  
105   3   12  1.58e+00  2.83e+01  
105   3   13  1.33e+00  2.93e+01  
105   3   15  1.49e+00  2.94e+01  
105   3   16  1.65e+00  2.24e+01  
105   3   17  1.49e+00  2.64e+01  
105   3   18  1.57e+00  2.33e+01  
105   3   19  1.50e+00  2.93e+01  
